Date,Den_MaxTemp,Den_MinTemp,Den_AvgTemp,Den_AvgTempDepart,Den_HDD,Den_CDD,Den_Precip,Den_Snowfall,Den_SnowDepth,Bri_MaxTemp,Bri_MinTemp,Bri_AvgTemp,Bri_AvgTempDepart,Bri_HDD,Bri_CDD,Bri_Precip,Bri_Snowfall,Bri_SnowDepth,Lake_MaxTemp,Lake_MinTemp,Lake_AvgTemp,Lake_AvgTempDepart,Lake_HDD,Lake_CDD,Lake_Precip,Lake_Snowfall,Lake_SnowDepth,Cent_MaxTemp,Cent_MinTemp,Cent_AvgTemp,Cent_AvgTempDepart,Cent_HDD,Cent_CDD,Cent_Precip,Cent_Snowfall,Cent_SnowDepth,Den-Lake_MaxTemp,Den-Cent_MaxTemp,Den-Bri_MaxTemp,Lake-Cent_MaxTemp,Den-Lake_MinTemp
8/18/2024,97,65,81,6.3,0,16,0,0,0,98,60,79,7.2,0,14,0,0,0,95,64,79.5,9.1,0,15,0,0,0,93,62,77.5,6.9,0,13,T,M,M,2,4,-1,2,1
8/19/2024,97,66,81.5,7,0,17,0.12,0,0,94,64,79,7.3,0,14,0,0,0,91,63,77,6.7,0,12,0,0,0,87,60,73.5,3.1,0,9,0.02,M,M,6,10,3,4,3
8/20/2024,89,63,76,1.6,0,11,T,0,0,91,58,74.5,3,0,10,0.09,0,0,86,59,72.5,2.4,0,8,0.03,0,0,93,60,76.5,6.3,0,12,T,M,M,3,-4,-2,-7,4
8/21/2024,95,64,79.5,5.3,0,15,0,0,0,95,66,80.5,9.2,0,16,0,0,0,93,66,79.5,9.6,0,15,0,0,0,92,65,78.5,8.4,0,14,T,M,M,2,3,0,1,-2
8/22/2024,95,70,82.5,8.5,0,18,0,0,0,96,63,79.5,8.4,0,15,0,0,0,92,68,80,10.3,0,15,0,0,0,87,61,74,4.1,0,9,0.39,M,M,3,8,-1,5,2
8/23/2024,87,61,74,0.2,0,9,0,0,0,90,58,74,3.1,0,9,0.25,0,0,85,60,72.5,2.9,0,8,0.1,0,0,87,59,73,3.3,0,8,0,M,M,2,0,-3,-2,1
8/24/2024,88,62,75,1.5,0,10,0,0,0,89,59,74,3.3,0,9,0.1,0,0,85,67,76,6.6,0,11,0.1,0,0,87,63,75,5.5,0,10,0,M,M,3,1,-1,-2,-5
8/25/2024,90,63,76.5,3.2,0,12,0.04,0,0,91,60,75.5,5,0,11,0,0,0,85,65,75,5.8,0,10,0,0,0,88,63,75.5,6.2,0,11,0.01,M,M,5,2,-1,-3,-2
8/26/2024,92,61,76.5,3.4,0,12,0,0,0,91,58,74.5,4.2,0,10,0.08,0,0,88,60,74,5,0,9,0.19,0,0,85,59,72,2.9,0,7,0.01,M,M,4,7,1,3,1
8/27/2024,88,58,73,0.1,0,8,0,0,0,87,52,69.5,-0.6,0,5,0,0,0,85,56,70.5,1.8,0,6,0,0,0,83,59,71,2.1,0,6,0,M,M,3,5,1,2,2
8/28/2024,89,60,74.5,1.9,0,10,0,0,0,86,54,70,0.2,0,5,0,0,0,85,56,70.5,2,0,6,0,0,0,90,58,74,5.3,0,9,0,M,M,4,-1,3,-5,4
8/29/2024,93,60,76.5,4.1,0,12,0,0,0,93,60,76.5,6.9,0,12,0,0,0,91,62,76.5,8.2,0,12,0,0,0,84,60,72,3.5,0,7,0,M,M,2,9,0,7,-2
8/30/2024,86,58,72,-0.1,0,7,0,0,0,87,50,68.5,-0.8,0,4,0,0,0,84,55,69.5,1.4,0,5,0,0,0,85,52,68.5,0.2,0,4,0,M,M,2,1,-1,-1,3
8/31/2024,91,58,74.5,2.6,0,10,0,0,0,88,51,69.5,0.4,0,5,0,0,0,85,56,70.5,2.7,0,6,0,0,0,88,55,71.5,3.4,0,7,0,M,M,6,3,3,-3,2
