Ref ID,Genus,Species,Sex,Sex Confidence ,Age (years),Age Confidence ,Social with other parrots? ,Social with conspecifics?,"""mimicry"" sounds count","""phrase"" count","""word"" count",Improvisation/ word reorganization,Contextual use of mimicry,,,,,,,,,,,,,,,,,,,,
305,Amazona,ochrocephala,Male,Medium,19,High,Yes,No,6,7,11,Never,Frequently,,,,,,,,,,,,,,,,,,,,
844,Amazona,ochrocephala,Male,Medium,17,Low,No,,2,5,8,Never,Frequently,,,,,,,,,,,,,,,,,,,,
160,Amazona,ochrocephala,Unknown,Low,25,High,No,No,10,6,15,Never,Never,,,,,,,,,,,,,,,,,,,,
166,Amazona,ochrocephala,Male,Medium,22,High,No,,10,2,5,Sometimes,Sometimes,,,,,,,,,,,,,,,,,,,,
865,Amazona,ochrocephala,Unknown,,27,Medium,No,,10,6,15,Sometimes,Sometimes,,,,,,,,,,,,,,,,,,,,
27,Amazona,oratrix,Male,High,14,Low,No,No,3,15,20,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
32,Amazona,oratrix,Female,High,35,Low,Yes,No,30,15,20,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
225,Amazona,oratrix,Female,Low,,,Yes,No,5,4,8,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
471,Amazona,oratrix,Male,Medium,23,Medium,Yes,Yes,1,7,22,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
491,Amazona,oratrix,Female,Medium,15,High,Yes,Yes,8,6,24,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
496,Amazona,oratrix,Male,High,3,High,Yes,No,1,10,21,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
674,Amazona,oratrix,Male,Medium,22,Medium,Yes,No,6,14,20,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
679,Amazona,oratrix,Female,High,31,Medium,Yes,No,12,6,10,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
776,Amazona,oratrix,Male,High,41,Medium,Yes,No,4,20,75,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
805,Amazona,oratrix,Male,High,26,High,No,No,0,5,24,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
78,Amazona,oratrix,Female,High,28,Low,Yes,No,7,15,20,Frequently,Frequently,,,,,,,,,,,,,,,,,,,,
682,Amazona,oratrix,Unknown,Low,,Low,Yes,Yes,10,100,80,Frequently,Frequently,,,,,,,,,,,,,,,,,,,,
222,Amazona,oratrix,Male,,26,Medium,No,No,5,6,25,Never,Frequently,,,,,,,,,,,,,,,,,,,,
725,Amazona,oratrix,Female,Medium,,,Yes,No,9,17,40,Sometimes,Never,,,,,,,,,,,,,,,,,,,,
840,Amazona,oratrix,Male,Low,52,Low,No,No,5,2,8,Sometimes,Sometimes,,,,,,,,,,,,,,,,,,,,
35,Amazona,oratrix,Male,High,38,Low,No,No,8,12,30,Never,Sometimes,,,,,,,,,,,,,,,,,,,,
